keyFieldSize,nonKeyFieldSize,numOfFixedLengthField,numOfVarLengthField,numOfRows,timePerRow
36,44,4,4,1,0.22178000000000003
36,44,2,6,1,0.2182
36,44,1,7,1,0.22103000000000006
36,44,5,3,1,0.21385999999999997
36,44,5,3,1,0.23365000000000005
36,44,3,5,1,0.23775
36,44,4,4,1,0.20952999999999997
36,44,6,2,1,0.21696000000000001
36,44,6,2,1,0.22598999999999997
36,44,4,4,1,0.22579999999999992
22,77,7,6,1,0.30998999999999993
22,77,6,7,1,0.30541
22,77,5,8,1,0.3019100000000001
22,77,5,8,1,0.30174
22,77,7,6,1,0.29593
22,77,7,6,1,0.32956
22,77,5,8,1,0.2984200000000001
22,77,6,7,1,0.3142599999999998
22,77,7,6,1,0.3123699999999999
22,77,7,6,1,0.29682000000000003
22,81,4,5,1,0.2738400000000001
22,81,5,4,1,0.24225000000000002
22,81,2,7,1,0.32419999999999993
22,81,4,5,1,0.2646199999999999
22,81,2,7,1,0.4025500000000001
22,81,4,5,1,0.2623299999999999
22,81,5,4,1,0.23989999999999997
22,81,3,6,1,0.24624000000000007
